nama,fakultas,nilai_kal,nilai_fis,nilai_kim
Zahra Michael,SAPPK,47.76,51.67,53.83
Pramana Muhammad,FTSL,30.2,32.63,56.86
Fadhila W,FTMD,59.53,63.45,56.29
Sitanggang Ardhyanesha,FTTM,39.52,41.68,55.06
Hebert Satyagraha,SITHR,64.32,62.52,59.55
Broma Khansa,FMIPA,48.43,53.93,70.9
Rahmanda FATHIYYA,FMIPA,51.38,49.04,58.78
Elena irena,SAPPK,48.17,54.45,61.5
Sekar El-Fajriansyah,FMIPA,48.74,50.14,83.45
Alvin Aishafahana,FMIPA,49.79,47.64,56.52
Qonita Faiz,STEI,55.75,59.09,51.75
Uliasri Nabila,STEI,54.41,53.1,69.15
Aliza Muhammad,FITB,44.65,47.44,65.27
Elizabeth Veda,FITB,45.11,46.66,49.92
Sutanto Tobi,FTTM,41.7,43.84,43.53
Fasya Jeremy,FTTM,43.16,42.03,57.62
Raziqa Lestari,FITB,46.26,46.84,65.61
Al-Harits Sungkar,SITHR,63.11,61.58,43.28
Shadrina Jasmine,STEI,52.11,54.07,51.32
Eridani Yavindra,FTSL,27.25,33.79,74.59
Fakhri Raharjo,FTMD,56.29,61.38,53.63
Jefferson Surya,FITB,46.46,48.16,59.27
Barid Raharjo,FITB,44.49,46.72,62.29
Dina Raihan,STEI,55.03,59.51,37.93
Muhammad Putra,SITHS,61.99,62.45,42.32
Fudin P,FITB,46.08,50.9,68.16
Ainaya Faizal,SITHR,64.47,69.9,47.02
Maharani Ulul,SBM,67.51,71.22,39.2
Hashemi Kurnia,SBM,68.8,68.07,59.86
Nariswari Fauzian,FITB,45.8,48.91,55.13
Syafiqa Daniel,SITHR,64.43,64.46,64.82
Arbi Elma,FMIPA,49.47,50.12,49.77
Faulista Fajar,SBM,69.37,66.49,39.98
raka Haston,STEI,51.92,55.74,54.8
Nur Hazmi,FTTM,40.27,42.87,57.84
Ayu Firjatullah,STEI,56.03,58.12,66.36
Susanti Gesa,FSRD,82.43,83.68,64.2
Muttaqi Cahyaningrat,STEI,54.23,56.21,56.75
Abdurrahman Alfito,FTTM,38.79,42.23,60.19
Lubis Suharya,STEI,55.61,61.93,51.46
Ezechiel Najwan,SF,61.14,63.2,65.5
Qawwiyyu Putu,SF,60.91,68.04,51.56
Ghani Salsabila,FTSL,33.59,40.15,53.42
Raden Nur,FTMD,57.71,63.54,59.08
Pekerti Ramadhani,FTSL,35.55,40.42,49.42
Irfan Alodia,FMIPA,51.51,59.9,54.39
Jose Geraldo,SAPPK,47.54,46.32,55.2
MANUEL Renanda,FTTM,40.9,42.52,64.54
Angkasa Jonathan,FTSL,35.98,40.72,52.66
Muhammad Angeli,FTMD,58.84,64.52,64.4
Hakim siddiq,FMIPA,49.58,48.45,75.15
AYA Prameswari,SAPPK,47.48,51.92,49.62
Devi Ferry,SITHR,63.86,63.79,44.7
Selina Amarila,STEI,52.78,55.54,66.22
W Fadhilah,STEI,51.83,54.02,56.28
Aulia P,FTSL,33.03,38.35,57.25
Febriani Muhammad,FITB,45.17,55.12,53.91
Angel Thalib,SF,60.97,64.88,46.05
Marevson Mirna,FMIPA,50.39,53.44,75.27
Musthafa Wysan,FMIPA,49.14,55.22,74.92
Samuel Meitiara,FTTM,41.9,45.11,66.02
Usman Muizz,STEI,53.08,50.72,60.62
Zahra Tanumihardja,FTSL,33.62,36.59,43.76
Mochamad Silangit,FTTM,42.09,53.27,65.18
Utami Hidayati,FSRD,71.31,77.24,58.78
Rafi Merlrin,FTMD,59.34,62.41,46.67
Shofa Kumara,SBM,67.73,68.19,49.82
Prawira Iqbal,FTMD,58.67,50.96,44.83
Miftahul Keyfin,STEI,54.84,53.31,68.03
Yudira Adila,FTMD,58.2,56.82,63.49
Alya Roni,FITB,46.07,50.82,55.83
Siti Suputra,FTTM,42.49,42.95,54.08
Nabila Muhammad,FMIPA,48.44,52.6,69.4
Satria Arif,FTTM,38.61,41.43,66.29
Najwa Maria,FTMD,57.83,59.23,76.02
Violetta Adithiya,FTTM,38.36,44.71,53.8
Shabrina Dianra,STEI,56.02,51.93,55.66
Ketut Tsaniya,SBM,65.38,67.67,61.99
Amatul Wan,SBM,67.62,69.08,71.63
Classirio LAELA,FTSL,31.81,33.89,65.23
Attahiya Khairunisa,FITB,44.72,49.0,65.51
Muhammad Annisa,FMIPA,49.54,46.25,67.35
Sadewa Adrian,FMIPA,48.69,52.01,51.41
Damianus Zahra,SBM,65.35,69.2,45.93
Evelyne Fakhri,FSRD,69.74,74.43,55.76
Aiko Nihayah,FTSL,32.67,33.13,56.95
Rafi Octaviani,STEI,55.09,55.71,53.78
C Yonathan,FMIPA,49.53,51.85,73.25
Bramasti Zino,FMIPA,51.45,55.35,42.05
Tamher Ramdani,SBM,67.14,70.45,55.64
Radya Risqi,SITHR,63.45,69.85,59.94
Stefani Gunawan,SAPPK,47.18,51.35,73.45
Kusumawati Farturrachman,SAPPK,46.96,52.37,66.19
Nabilla Dheyyazahra,FTSL,28.29,31.78,51.69
Tasyabita Regina,STEI,53.15,54.87,54.19
Zahira Keane,FMIPA,51.32,56.3,64.23
Aryento Glorya,FMIPA,48.6,48.69,59.32
Ariel Dylan,FTMD,58.14,60.64,72.92
Regina Sumaryo,FTSL,34.14,38.17,60.85
Radya Mifdatus,STEI,53.12,50.66,55.52
Cahyani Mora,FSRD,100.0,100.0,79.55
Abdul Sukma,SAPPK,46.84,45.16,66.25
Yedija Mahira,FTTM,42.43,47.95,70.59
Faza Sianturi,FTTM,38.85,40.42,49.26
Sultanjaya Ramadhan,FTSL,32.83,33.43,61.58
Husain napitupulu,FTSL,32.2,39.38,51.68
Triasandita Furqaan,FTTM,39.75,44.51,37.19
Je Kosasih,FTMD,56.15,57.83,64.99
Bagus Pekerti,STEI,52.27,55.13,56.12
Naura Alvian,FSRD,75.2,75.02,55.1
Tyas Ahmad,FMIPA,49.68,51.3,53.4
Muhammad Broto,FTSL,27.3,39.54,47.11
Girsang Pratama,FTTM,40.87,46.1,61.08
Puspita Sinukaban,SITHR,63.89,67.56,47.75
Ikmal Rohmah,FMIPA,49.68,57.23,59.01
Adianty Kautsar,STEI,55.23,57.84,43.32
Vira Lidwina,FTSL,37.39,47.33,55.1
Wira Naufal,FTMD,56.83,56.39,47.97
Sianto Nur,FSRD,75.67,78.47,58.33
Tiladera Rafael,SITHS,62.32,63.25,71.86
Julius Gilbert,FMIPA,49.15,52.34,53.55
Winie Yasmin,SBM,69.22,72.62,61.51
Fitra Setiawan,FMIPA,51.56,54.47,54.09
Khansa Wilson,STEI,55.85,54.58,70.2
Irfan Daniel,STEI,53.98,58.23,57.72
Fariz Jennifer,SBM,67.1,66.87,58.82
Dila Prayoga,FMIPA,50.39,53.6,64.58
Dahlan Arif,FMIPA,51.51,51.73,49.38
Steven Zakiyya,FTTM,40.1,44.9,57.19
Reynardo Farahrani,SITHR,63.64,67.06,65.39
Rahmanda Antami,FTMD,56.12,55.65,56.95
yang Avicena,SAPPK,47.56,48.64,59.22
Bela Hani,SITHR,64.09,66.57,57.16
WIJAYANTI Amadio,SITHS,61.96,57.73,85.07
Oxanna Lee,SF,59.89,61.48,71.4
Firda Firstrizanda,STEI,55.49,58.16,61.42
Hermanto Uzair,STEI,54.0,57.77,44.73
Ramadhon Muhammad,SBM,69.6,76.36,48.89
Arkaan Enya,FTSL,29.53,35.11,55.44
Muthmainnah Pammasse,FTSL,28.85,42.38,61.92
Dina pn,SF,60.49,55.94,39.04
Rasheesa Gerald,SF,59.83,62.79,57.93
Zulfikar Kezia,SBM,68.38,66.32,66.17
Soesanto Bonfilio,FMIPA,51.34,58.91,59.45
Jannah Saputra,FTSL,34.27,38.11,64.21
Anggoh Gilang,FSRD,72.86,75.09,51.53
Prasetyo Dwi,SF,60.86,63.8,49.51
Muhammad Rahman,FTTM,39.19,46.53,67.77
Caesaruli Naomi,STEI,52.54,58.63,43.67
Candra Yodia,STEI,54.24,54.79,58.73
Rizqia Matthew,STEI,55.27,56.62,63.62
Adnandi Aparesina,FITB,44.89,46.93,63.15
Afifah Yudhitama,STEI,55.92,54.63,53.79
Patricia Alifah,FSRD,72.39,71.42,47.17
Sofistika Anugrah,FMIPA,50.54,53.13,51.13
Mochammad Farel,FITB,45.25,51.82,59.81
Marcelina Gannet,SF,61.14,60.15,57.04
Zebua Imanuel,FSRD,79.47,78.04,49.65
Faqihuddin Attarahman,FMIPA,48.8,46.9,68.13
Jonathan Aliya,FITB,44.21,52.97,48.96
Aurelia Ananda,FTMD,56.88,59.62,71.72
Vincent Yozarno,FTMD,57.37,60.66,65.97
Ustaqien Florentina,SAPPK,48.16,52.32,51.09
Muhammad Kiseki,SITHR,63.98,64.28,44.37
Erlangga Muhammad,STEI,51.86,54.31,40.69
Ihsan Syifa,FITB,45.02,51.69,76.28
Putri Anggara,STEI,52.06,61.06,45.23
Putra Putri,SBM,68.64,69.37,61.03
Larasati Zulfianda,FMIPA,49.8,53.24,39.7
Muhammad Darjatul,FITB,45.15,49.35,44.31
Della Siahaan,FTSL,24.92,27.96,53.16
Shafira Aji,FMIPA,51.4,57.49,34.66
Viene Ariatmojo,SITHR,63.34,65.69,64.48
Simatupang Raykhul,SAPPK,46.77,50.88,59.33
Hans Sebastian,FSRD,69.99,67.69,69.1
Camila shevina,FMIPA,48.86,56.83,46.99
Nasution Siedharta,SITHR,63.89,64.5,65.37
Waskito Narayan,FTTM,41.82,41.85,57.83
Tahnia Nur,FITB,43.65,50.48,54.29
Putri Christian,FTTM,40.2,48.69,51.59
Az Dev,FTMD,58.74,61.15,52.42
Antonius Dewanto,SBM,68.59,66.69,65.97
Sule Safira,FTTM,42.36,44.69,47.07
Pambagyo Muhammad,FITB,45.42,48.31,58.33
Subhakti Kriswinarno,SF,61.28,60.85,59.46
Meysaroh Bilal,SBM,69.58,63.92,71.85
irsyad Ahmad,FTMD,56.34,47.92,59.87
Fernaldy Najwa,FMIPA,50.24,52.89,59.16
Azmi Rahmani,FSRD,77.32,78.71,76.83
Raul Ghiffari,FTMD,56.37,59.54,51.85
Musthofa Ananda,STEI,54.2,56.83,62.83
Sachio Bilal,STEI,52.79,57.55,62.57
Nuswantara Siregar,SBM,66.6,67.4,69.53
Rayhan Nicholas,FITB,44.8,51.37,58.59
Tiara Arumsari,SBM,68.02,68.35,52.58
Dennisa Martina,SBM,65.67,68.75,56.36
Razaq S.,SF,60.38,66.89,61.68
Mediana Widiantoro,FTSL,25.91,31.26,62.91
Hanif Albab,FTTM,42.69,47.39,64.74
Diazisra Putri,FTSL,37.12,43.8,73.76
Kusumahatmaja Anggi,SAPPK,47.12,49.76,62.1
Angga Kusumah,FTMD,57.18,60.22,53.1
Sebastian ayu,SAPPK,48.13,50.98,46.11
Agnes Wahyu,SAPPK,47.85,56.29,58.38
Azer Karima,FSRD,71.5,81.41,72.56
Thalib Angeliqa,SF,61.02,59.17,48.94
Shaddai Mikha,FMIPA,49.43,52.35,50.79
Bachrul Putra,FMIPA,48.39,52.25,62.12
Muhammad Fanny,FTMD,59.53,64.69,60.46
Alfiyyah agfa,SITHS,62.59,65.8,51.68
Muhammad Afifah,SAPPK,48.07,50.05,53.79
Adinugroho Patrick,FMIPA,51.1,57.85,63.77
Latifa Indah,SITHS,61.59,60.41,49.01
Hanna Maulana,STEI,52.33,57.52,66.67
Prameswari Desiva,STEI,53.17,65.43,60.18
Vivaldi Mohammad,STEI,54.31,59.44,64.83
Salsabila Zukhrufiati,FTTM,43.35,50.87,47.58
diva Naufal,FMIPA,50.74,53.24,68.56
Saffanah Renaldy,FITB,45.78,46.82,51.31
Putri Nugroho,FITB,46.11,50.74,55.24
Nurcholish Shaquille,SITHS,62.31,61.66,60.2
Muhammad Humaira,FTTM,41.12,46.29,48.34
Viorella Fahrani,FMIPA,48.42,53.51,72.0
Tahnia Prima,STEI,53.57,58.56,54.93
Ariel Tua,STEI,53.39,63.26,59.42
Raras Khairunnisa,FMIPA,50.63,52.5,50.87
Sirait Adha,FSRD,73.1,73.18,60.73
Indrapati Azahra,FTTM,40.47,46.72,52.39
Fazli Parikesit,FTSL,22.04,25.88,55.08
Alovenda Alyssa,STEI,55.74,57.58,59.31
Ahmad Johannes,STEI,55.99,51.06,51.53
Giriandra Hanif,FMIPA,50.88,59.23,66.49
Argakoesoemah Putra,FTTM,43.52,41.84,67.44
Laurens Buleen,FMIPA,51.24,46.1,64.01
Az-zahra Jenia,FITB,44.62,47.76,68.32
Ummu ayu,FMIPA,50.66,43.57,47.17
Sitanggang Wiratathya,SITHR,64.75,67.46,61.15
Nugraha Arum,SITHR,63.28,67.6,57.7
Adrienne Christopher,SAPPK,48.08,50.99,61.84
Aloysius Pramana,STEI,53.81,53.28,61.88
Sari Muhammad,FMIPA,48.96,51.19,66.07
Tuan Mor,STEI,94.76,67.5,24.82
Inggrid Tang,FTSL,24.92,28.68,69.77
Alvira Muhammad,FTSL,34.46,38.38,41.77
Rakha P,FMIPA,50.82,47.8,35.2
Naila Muhammad,FTSL,27.22,32.72,69.1
Mikha Fathimah,FMIPA,50.6,58.49,52.78
Hilal Minerva,SAPPK,46.92,50.73,77.19
Vincent Putri,STEI,55.64,61.57,59.86
M. Victoria,FTMD,57.28,58.82,59.97
Hawari Abdillah,FSRD,71.35,72.83,57.29
Muhyiddin Fasya,SITHR,63.14,65.35,48.58
Siregar Agustian,FTSL,35.93,45.59,55.47
Aliyah Ridho,FSRD,69.84,73.12,55.11
Josephine Aqila,SAPPK,46.78,48.63,38.41
Rijalulhaqqi Muamar,FTSL,31.61,39.78,62.33
Aiko Dania,STEI,52.19,56.84,60.55
Alloy Pramesti,FTSL,37.28,42.6,57.53
Sukoco Pramudya,FTMD,56.09,58.64,58.3
Anastasya Arriq,FTTM,39.37,45.63,57.83
Widya Sekartaji,FTSL,35.76,41.39,50.25
faiza Susetyo,FITB,45.77,45.77,58.52
Adi Ramiza,FTTM,41.08,46.93,50.77
Putra Khairunisa,STEI,51.97,58.79,61.03
Ginting Purnama,SAPPK,47.02,49.38,51.66
Ahmad Bidara,SF,60.89,63.58,54.22
Khairunnisa Muflih,FITB,46.33,51.6,55.28
Amin Tamara,SITHS,62.61,64.62,76.27
Arvin Rahman,FMIPA,51.39,53.29,48.82
Nathanael Carnelian,STEI,55.81,61.52,49.2
Asyari Christian,SBM,68.7,68.06,67.17
Raissa Kautsar,FTTM,41.9,51.54,55.39
Gultom Azarya,SBM,68.18,70.31,52.47
Hasibuan Roselyna,FTTM,37.75,37.08,71.24
Galuh Asyifa,FMIPA,48.34,51.25,44.93
Syaloom Naufal,FITB,46.03,49.91,43.49
Hilmi Firmansyah,FMIPA,48.54,59.67,57.15
Haryadi Bayu,FTMD,58.75,57.39,60.31
Kayla Amelinda,FMIPA,51.28,53.3,55.22
Dassa Effendi,FTMD,56.43,56.88,69.84
Samuel Serafim,FITB,44.75,49.17,64.12
Nadia Tuzzahra,FTMD,57.42,61.41,41.88
Kusumodewi Khalfani,FMIPA,50.78,50.66,64.5
Sella Edwin,FTSL,37.09,45.87,57.96
octoberta Rafif,FTMD,58.36,62.49,67.55
Christian Muhammad,STEI,52.12,51.34,73.04
Talitha Wardana,FTSL,22.5,30.72,65.47
Rania Wahid,FSRD,71.63,70.34,78.54
Joseph Kurnia,STEI,51.69,49.95,59.45
Cahyadi Nur,FMIPA,50.65,52.14,68.5
Alina Fuad,FTSL,34.73,36.05,43.57
Ardhika Satria,FTMD,57.3,65.98,52.83
Nadhif Irvianto,FTTM,40.17,41.56,50.9
Olivia Nainggolan,SBM,66.67,65.32,51.55
Iftitah Gita,SITHR,64.33,73.65,68.38
Stefanus Fadllur,SAPPK,47.73,57.39,54.72
Tamher Andiyanti,FTTM,40.37,43.44,74.01
Mutiara Setiawan,SAPPK,47.63,44.75,55.84
Aishafahana nathalia,FMIPA,50.54,56.33,70.36
Dakhilullah Benyamin,FTSL,27.02,28.76,53.58
Razita Fitra,SAPPK,47.53,50.41,67.84
Ramadhan Malwin,SITHR,64.62,64.91,54.38
Andika Azhari,FSRD,69.73,74.42,68.84
Ananda ulhaq,SITHS,61.68,65.4,64.3
Prakosa Rinaldi,SF,61.39,63.69,61.08
Sinaga Bayu,SF,61.53,58.7,70.52
Raihan Fadhlurrahman,FITB,44.95,48.02,60.56
Multazam Ramadhina,FTSL,34.95,39.74,53.45
Veronika Samudra,FTMD,57.18,54.76,55.96
Kezia Shilla,SBM,68.42,69.32,50.83
Utama Kadang,STEI,52.49,53.91,53.44
Rahmani Rahmady,FTMD,57.15,59.1,76.83
Dwi nabila,STEI,51.75,57.43,64.16
Hania nur,FSRD,70.15,74.46,49.66
Suliman Cyndara,FTMD,59.65,60.33,68.85
M. Ali,SAPPK,47.02,51.79,68.38
Kayla Tjandradjaja,STEI,52.2,56.78,65.83
Tsabit Fakhrurazi,FTTM,41.96,45.56,69.61
Kalang Puti,FTMD,58.81,51.95,53.13
Dimas Karisma,SITHS,62.19,62.42,83.72
Ramiza Michael,STEI,51.98,59.32,54.11
Ainun Wibisono,FTTM,40.96,45.8,60.42
Wahyuni Ariel,FMIPA,50.56,51.65,45.05
Hardiono Zaida,SITHS,61.61,62.18,59.13
Sumerta Salsabilla,FTSL,32.88,35.78,48.74
Nadhira Hilmi,SITHS,61.79,64.75,52.33
Awaludin Aji,FTMD,57.54,60.04,61.25
Dinda Putri,SITHR,63.46,68.45,59.58
Wijaya Ali,SF,60.46,61.56,59.92
Chadijah Syandana,SITHS,61.72,58.53,70.01
Herlina Hardi,SITHS,61.92,65.5,65.16
Mabrur Indrasari,FMIPA,48.76,57.74,71.37
Simanjuntak Putri,SITHR,63.29,60.54,69.64
Dwinita Ummu,FMIPA,50.85,51.19,58.4
Aswien Fasya,SITHS,61.69,65.53,52.46
Syifa Quinela,SBM,69.66,69.77,59.81
Putri Naufal,SITHS,62.33,59.19,42.41
Dawud Michael,FTSL,31.44,36.54,55.28
Alecio Haniifah,FTSL,30.32,36.33,50.46
putri Frans,FTMD,57.95,61.65,45.61
Muhammad Huda,FMIPA,50.81,51.48,49.98
Widyadari Fadhilatunnisa,FTTM,43.24,48.11,55.86
Andini Sirichit,SF,60.06,63.93,71.55
peter Vidyana,SAPPK,47.49,43.86,58.23
Frans humaira,FTMD,56.64,55.61,59.3
Zahra Muhammad,FSRD,70.0,69.29,57.37
Marvella Tasnisa,FTTM,42.86,48.63,38.4
Alfina Syuhada,FITB,44.01,50.58,68.0
Nadhifa Cahyadi,FTSL,36.82,45.32,67.32
Kirana Rizal,FTSL,31.08,34.46,63.6
Jaya Alsakina,FTTM,38.49,42.59,58.67
Jilan Haviz,FTMD,57.75,65.17,80.78
Syihabudin Naraninditya,FTSL,37.47,40.02,44.15
Farzadila Zakia,STEI,53.03,53.68,70.06
PUTRI P,SITHR,64.01,69.05,49.79
Azra Nadia,SAPPK,47.18,52.18,51.02
Salwa Muhammad,SAPPK,47.28,52.14,69.74
Arya Mutiara,FITB,45.43,45.38,44.68
Anjani Hasna,FITB,43.77,45.66,47.5
Depari Najma,FTMD,56.74,61.31,60.13
Septiadi Purwandi,SAPPK,47.56,54.8,58.0
Ignasius Edbert,FMIPA,48.83,56.87,71.37
Yusran Yustinov,STEI,52.06,51.46,69.18
Febri Affan,FTSL,30.2,35.11,42.76
Laurens Dhiya,FTSL,37.22,37.0,70.62
Despranta Fatimah,FSRD,69.71,73.34,55.41
Rivaldi Saka,SBM,67.23,67.75,67.92
Sebastian Fadya,FTMD,57.96,60.32,46.22
Al Rakha,SBM,66.56,71.97,62.51
De Azzahra,SF,60.84,62.49,65.19
Dassa muhamad,FITB,44.6,48.03,53.49
Chiara Manafi,STEI,54.42,56.24,45.57
Ghozali Hara,FTTM,37.91,42.87,64.92
avianna Mubina,FTMD,57.01,54.33,68.66
